,FIPS,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016",Abrv,Clusters
0,1001,Alabama,Autauga,54571,55255,55027,54792,54977,55035,55416,AL,8
1,1003,Alabama,Baldwin,182265,186653,190403,195147,199745,203690,208563,AL,7
2,1005,Alabama,Barbour,27457,27326,27132,26938,26763,26270,25965,AL,11
3,1007,Alabama,Bibb,22915,22736,22645,22501,22511,22561,22643,AL,5
4,1009,Alabama,Blount,57322,57707,57772,57746,57621,57676,57704,AL,7
5,1011,Alabama,Bullock,10914,10722,10654,10576,10712,10455,10362,AL,11
6,1013,Alabama,Butler,20947,20848,20665,20330,20283,20126,19998,AL,2
7,1015,Alabama,Calhoun,118572,117736,117208,116475,115837,115285,114611,AL,7
8,1017,Alabama,Chambers,34215,34006,34084,34123,33996,34043,33843,AL,12
9,1019,Alabama,Cherokee,25989,26073,26017,26074,25944,25726,25725,AL,1
10,1021,Alabama,Chilton,43643,43758,43693,43769,43874,43809,43941,AL,13
11,1023,Alabama,Choctaw,13859,13610,13549,13384,13310,13201,12993,AL,2
12,1025,Alabama,Clarke,25833,25549,25148,25105,24862,24726,24392,AL,10
13,1027,Alabama,Clay,13932,13676,13461,13464,13503,13495,13492,AL,9
14,1029,Alabama,Cleburne,14972,14976,14928,15031,15076,14996,14924,AL,6
15,1031,Alabama,Coffee,49948,50484,51180,50729,50757,51063,51226,AL,6
16,1033,Alabama,Colbert,54428,54460,54493,54456,54427,54295,54216,AL,8
17,1035,Alabama,Conecuh,13228,13193,13007,12866,12621,12597,12395,AL,10
18,1037,Alabama,Coosa,11539,11369,11201,11058,10794,10687,10581,AL,9
19,1039,Alabama,Covington,37765,38066,37842,37890,37795,37661,37458,AL,5
20,1041,Alabama,Crenshaw,13906,13903,13920,13874,13898,13876,13913,AL,5
21,1043,Alabama,Cullman,80406,80457,80351,80731,81167,81858,82471,AL,6
22,1045,Alabama,Dale,50251,50119,50296,49753,49389,49370,49226,AL,1
23,1047,Alabama,Dallas,43820,43207,42748,41950,41532,40893,40008,AL,10
24,1049,Alabama,DeKalb,71109,71389,70961,70882,70947,70996,70900,AL,9
25,1051,Alabama,Elmore,79303,80030,80291,80661,80794,81238,81799,AL,8
26,1053,Alabama,Escambia,38319,38227,38063,37877,37878,37827,37728,AL,11
27,1055,Alabama,Etowah,104430,104236,104215,103790,103371,102873,102564,AL,8
28,1057,Alabama,Fayette,17241,17063,16966,16858,16821,16723,16546,AL,9
29,1059,Alabama,Franklin,31704,31734,31652,31505,31540,31542,31628,AL,1
30,1061,Alabama,Geneva,26790,26843,27012,26754,26688,26755,26614,AL,5
31,1063,Alabama,Greene,9045,8926,8837,8702,8525,8450,8422,AL,2
32,1065,Alabama,Hale,15760,15377,15393,15293,15081,15075,14952,AL,12
33,1067,Alabama,Henry,17302,17405,17237,17188,17156,17191,17164,AL,5
34,1069,Alabama,Houston,101547,102480,103382,103614,104177,104225,104056,AL,12
35,1071,Alabama,Jackson,53227,53275,53087,52939,52580,52298,52138,AL,9
36,1073,Alabama,Jefferson,658466,657669,657639,658578,659733,660007,659521,AL,8
37,1075,Alabama,Lamar,14564,14301,14257,14192,14062,13902,13918,AL,9
38,1077,Alabama,Lauderdale,92709,92593,92694,92713,93005,92477,92318,AL,13
39,1079,Alabama,Lawrence,34339,34052,33788,33570,33432,33133,33244,AL,3
40,1081,Alabama,Lee,140247,144123,148289,151411,154277,156767,158991,AL,8
41,1083,Alabama,Limestone,82782,85571,87368,88904,90640,91622,92753,AL,7
42,1085,Alabama,Lowndes,11299,11117,10835,10685,10524,10422,10358,AL,11
43,1087,Alabama,Macon,21452,21317,20632,20016,19594,19215,18963,AL,2
44,1089,Alabama,Madison,334811,339594,342773,346704,350121,353302,356967,AL,8
45,1091,Alabama,Marengo,21027,20728,20451,20208,20086,19912,19673,AL,2
46,1093,Alabama,Marion,30776,30725,30520,30283,30250,30145,29998,AL,1
47,1095,Alabama,Marshall,93019,93885,94182,94318,94320,94693,95157,AL,1
48,1097,Alabama,Mobile,412992,413178,413760,413884,414342,414634,414836,AL,5
49,1099,Alabama,Monroe,23068,22795,22593,22154,21902,21697,21530,AL,11
50,1101,Alabama,Montgomery,229363,229174,228708,227841,227193,226868,226349,AL,5
51,1103,Alabama,Morgan,119490,119988,120123,119652,119602,119387,119012,AL,8
52,1105,Alabama,Perry,10591,10518,10184,9995,9842,9683,9574,AL,2
53,1107,Alabama,Pickens,19746,19366,19359,19370,20332,20827,20324,AL,10
54,1109,Alabama,Pike,32899,32999,33113,33592,33020,33376,33286,AL,11
